subscriber_id,customer_id,dealer_code,plan_code,join_date,churn_date
S-62808,C-18602,DLR-01,PLN-B60,04/22/2025,
S-62809,C-18603,DLR-06 ,PLN-FAM,10/16/2025,
S-62810,C-18604,DLR-01,PLN-FAM,12/07/2023,07/23/2025
S-62811,C-18605,DLR-01,PLN-UMAX,07/13/2025,
S-62812,C-18606,DLR-05,PLN-T17,09/17/2025,
S-62813,C-18607,DLR-09,PLN-B60,09/30/2021,09/19/2022
S-62814,C-18608,DLR-3,PLN-S100,05/17/2025,
S-62815,C-18609,DLR-03,PLN-S100,01/26/2025,07/12/2025
S-62816,C-18609,DLR-07,PLN-S100,09/08/2025,
S-62817,C-18610,DLR-01 ,PLN-T20,09/18/2023,12/11/2023
S-62818,C-18611,DLR-03,PLN-U69,08/02/2022,10/07/2024
S-62819,C-18612,DLR-05,PLN-UMAX,10/20/2022,
S-62820,C-18613,DLR-10 ,PLN-S100,10/03/2023,
S-62821,C-18613,dlr-10,PLN-UMAX,12/28/2023,
S-62822,C-18613,DLR-09,PLN-YTH,09/26/2024,
S-62823,C-18614,DLR-06,PLN-S100,08/13/2025,
S-62824,C-18614,DLR-1,PLN-T25,12/31/2025,
S-62825,C-18615,DLR-03,PLN-B60,02/16/2022,
S-62826,C-18616,DLR-05,PLN-B60,10/06/2022,
S-62827,C-18616,DLR-09,PLN-B60,03/06/2023,10/03/2024
S-62828,C-18616,DLR-07,PLN-S200,04/08/2023,
S-62829,C-18616,DLR-03,PLN-YTH,12/08/2022,
S-62830,C-18617,DLR-03,PLN-S100,03/19/2025,
S-62831,C-18617,DLR-6,PLN-FAM,08/14/2025,
S-62832,C-18618,DLR-05,PLN-YTH,04/28/2025,
S-62833,C-18618,DLR-01,PLN-UMAX,12/02/2025,
S-62834,C-18619,DLR-10,PLN-B40,02/12/2022,06/26/2024
S-62835,C-18620,DLR-09,PLN-T16,02/18/2024,
S-62836,C-18621,DLR-01,PLN-S200,01/14/2025,05/08/2025
S-62837,C-18622,DLR-03,PLN-T23,03/27/2025,08/04/2025
S-62838,C-18623,DLR-09,PLN-S100,04/15/2024,
S-62839,C-18624,DLR-07,PLN-T22,12/17/2025,
S-62840,C-18625,DLR-04,PLN-SNR,07/18/2025,
S-62841,C-18626,DLR-03,PLN-S100,04/16/2025,09/03/2025
S-62842,C-18626,DLR-09,PLN-U69,07/04/2025,
S-62843,C-18626,DLR-03,PLN-B60,12/17/2025,
S-62844,C-18627,DLR-01,PLN-B40,05/17/2021,11/29/2021
S-62845,C-18627,DLR-09,PLN-S200,10/28/2022,
S-62846,C-18628,DLR-08,PLN-T09,02/19/2025,05/22/2025
S-62847,C-18629,DLR-03,PLN-T08,10/30/2024,
S-62848,C-18630,DLR-01,PLN-B60,12/25/2022,
S-62849,C-18631,DLR-06,PLN-SNR,11/11/2025,
S-62850,C-18632,DLR-08,PLN-T24,12/05/2022,
S-62851,C-18632,DLR-02,PLN-S200,04/16/2023,11/25/2023
S-62852,C-18632,DLR-07,PLN-S100,02/20/2023,
S-62853,C-18632,DLR-09,PLN-T24,02/01/2024,
S-62854,C-18633,DLR-5,PLN-SNR,06/24/2022,02/10/2024
S-62855,C-18633,DLR-04 ,PLN-S200,03/19/2023,12/02/2023
S-62856,C-18634,DLR-01,PLN-FAM,10/21/2025,
S-62857,C-18635,DLR-05,PLN-S100,08/24/2024,02/26/2025
S-62858,C-18636,DLR-01,PLN-B60,01/10/2022,
S-62859,C-18637,DLR-04,PLN-S200,03/24/2023,05/21/2023
S-62860,C-18637,DLR-02,PLN-T01,02/07/2024,03/13/2024
S-62861,C-18638,DLR-08,PLN-S100,09/05/2025,
S-62862,C-18639,DLR-01,PLN-U69,10/17/2024,
S-62863,C-18640,DLR-03,PLN-UMAX,01/12/2025,
S-62864,C-18641,DLR-05,PLN-S200,11/03/2023,
S-62865,C-18641,DLR-1,PLN-UMAX,12/11/2024,
S-62866,C-18641,DLR-03,PLN-T19,06/02/2024,07/15/2024
S-62867,C-18642,DLR-06,PLN-T20,09/18/2022,11/02/2024
S-62868,C-18643,DLR-03,PLN-S300,05/19/2023,07/29/2025
S-62869,C-18644,DLR-03,PLN-S200,02/06/2025,
S-62870,C-18645,DLR-03,PLN-S200,02/20/2025,
S-62871,C-18646,DLR-09,PLN-T13,04/23/2025,
S-62872,C-18647,DLR-03 ,PLN-T19,04/03/2025,
S-62873,C-18648,DLR-09,PLN-SNR,01/02/2022,
S-62874,C-18649,DLR-05,PLN-UMAX,06/24/2021,
S-62875,C-18650,DLR-04,PLN-FAM,12/18/2025,
S-62876,C-18651,DLR-1,PLN-UMAX,07/11/2025,11/27/2025
S-62877,C-18652,DLR-08,PLN-S300,05/24/2025,10/23/2025
S-62878,C-18653,DLR-06,PLN-SNR,03/28/2025,08/29/2025
S-62879,C-18654,DLR-09,PLN-FAM,05/09/2025,
S-62880,C-18654,DLR-03,PLN-T02,06/12/2025,
S-62881,C-18654,DLR-04,PLN-U69,10/29/2025,
S-62882,C-18655,DLR-05,PLN-B60,09/21/2022,02/06/2024
S-62883,C-18656,DLR-07,PLN-S300,08/07/2024,
S-62884,C-18657,DLR-04,PLN-FAM,07/14/2023,
S-62885,C-18658,DLR-06,PLN-YTH,02/16/2021,
S-62886,C-18659,DLR-02,PLN-S200,06/16/2021,04/08/2023
S-62887,C-18660,DLR-10,PLN-T03,07/16/2024,
S-62888,C-18661,DLR-01,PLN-S300,03/18/2025,
S-62889,C-18661,DLR-06,PLN-B60,07/25/2025,10/03/2025
S-62890,C-18662,DLR-03,PLN-UMAX,03/21/2024,09/22/2024
S-62891,C-18662,DLR-05,PLN-S300,01/11/2025,
S-62892,C-18663,DLR-03,PLN-B60,10/11/2022,04/24/2024
S-62893,C-18664,DLR-01,PLN-T09,03/22/2024,09/20/2025
S-62894,C-18664,DLR-09,PLN-S300,08/28/2025,
S-62895,C-18664,DLR-02,PLN-UMAX,09/03/2024,
S-62896,C-18665,DLR-03,PLN-YTH,06/29/2023,12/28/2025
S-62897,C-18665,DLR-01,PLN-S100,09/25/2024,
S-62898,C-18666,DLR-07,PLN-T10,06/13/2024,
S-62899,C-18666,DLR-05 ,PLN-B60,08/12/2025,
S-62900,C-18667,DLR-07,PLN-YTH,07/30/2025,
S-62901,C-18668,DLR-07,PLN-YTH,01/24/2025,
S-62902,C-18669,DLR-07,PLN-S100,06/05/2022,
S-62903,C-18669,DLR-08,PLN-UMAX,10/11/2023,03/24/2024
S-62904,C-18669,DLR-06,PLN-SNR,11/10/2022,
S-62905,C-18669,DLR-05,PLN-S200,07/15/2023,09/27/2025
S-62906,C-18669,dlr-03,PLN-UMAX,05/17/2023,
S-62907,C-18670,DLR-03,PLN-T12,02/04/2025,07/08/2025
S-62908,C-18670,DLR-03,PLN-U69,03/28/2025,06/07/2025
S-62909,C-18671,DLR-09,PLN-FAM,12/20/2023,03/31/2024
S-62910,C-18672,DLR-05,PLN-YTH,03/01/2023,
S-62911,C-18673,DLR-01,PLN-S200,10/09/2021,
S-62912,C-18674,DLR-06,PLN-S100,01/14/2023,
S-62913,C-18675,DLR-09 ,PLN-SNR,10/19/2023,
S-62914,C-18676,DLR-01,PLN-UMAX,05/17/2025,
S-62915,C-18677,DLR-3,PLN-S100,02/28/2022,11/06/2023
S-62916,C-18677,DLR-05,PLN-S200,10/05/2022,07/31/2025
S-62917,C-18678,DLR-01,PLN-T10,03/16/2021,
S-62918,C-18679,DLR-07,PLN-T08,02/05/2025,
S-62919,C-18680,DLR-05,PLN-YTH,03/02/2024,
S-62920,C-18681,DLR-06,PLN-S200,02/08/2021,04/29/2022
S-62921,C-18682,DLR-05,PLN-B60,04/01/2025,
S-62922,C-18683,DLR-03,PLN-YTH,09/12/2022,12/16/2023
S-62923,C-18684,DLR-10,PLN-YTH,11/21/2022,04/22/2024
S-62924,C-18684,DLR-02,PLN-B60,05/25/2024,09/15/2024
S-62925,C-18684,DLR-03,PLN-S300,11/09/2023,
S-62926,C-18685,DLR-01,PLN-S100,10/30/2023,04/28/2024
S-62927,C-18686,DLR-1,PLN-S200,12/08/2023,11/27/2025
S-62928,C-18686,DLR-09,PLN-S200,01/02/2024,
S-62929,C-18687,DLR-10,PLN-S100,10/06/2022,08/19/2025
S-62930,C-18688,DLR-02,PLN-B40,12/09/2025,
S-62931,C-18689,DLR-05,PLN-U69,08/04/2025,
S-62932,C-18690,DLR-03,PLN-S100,01/24/2025,06/20/2025
S-62933,C-18691,DLR-07,PLN-SNR,09/19/2025,
S-62934,C-18692,DLR-08,PLN-S200,05/05/2025,12/12/2025
S-62935,C-18693,DLR-03,PLN-UMAX,03/28/2024,04/15/2025
S-62936,C-18694,DLR-10,PLN-YTH,08/12/2025,10/04/2025
S-62937,C-18695,DLR-01,PLN-FAM,08/27/2024,02/19/2025
S-62938,C-18696,DLR-03,PLN-FAM,10/04/2023,04/20/2025
S-62939,C-18697,DLR-03,PLN-FAM,01/04/2025,
S-62940,C-18698,DLR-05,PLN-UMAX,12/12/2023,
S-62941,C-18698,DLR-5,PLN-T12,09/27/2024,
S-62942,C-18698,DLR-10,PLN-SNR,04/28/2024,
S-62943,C-18698,DLR-08,PLN-S200,03/08/2024,03/10/2025
S-62944,C-18699,DLR-03,PLN-T17,12/14/2022,
S-62945,C-18699,dlr-09,PLN-T25,01/06/2023,11/01/2025
S-62946,C-18699,DLR-05,PLN-YTH,11/06/2023,
S-62947,C-18700,DLR-07,PLN-SNR,11/29/2024,
S-62948,C-18700,DLR-01,PLN-S300,12/09/2025,
S-62949,C-18700,DLR-01,PLN-FAM,08/26/2025,
S-62950,C-18701,DLR-04,PLN-UMAX,08/04/2025,
S-62951,C-18702,DLR-03,PLN-B40,03/07/2025,
S-62952,C-18702,dlr-09,PLN-UMAX,04/04/2025,
S-62953,C-18703,DLR-03,PLN-S100,09/05/2023,11/17/2023
S-62954,C-18704,DLR-07,PLN-T14,06/25/2025,
S-62955,C-18704,DLR-09 ,PLN-T04,08/12/2025,
S-62956,C-18704,DLR-06,PLN-T15,11/26/2025,
S-62957,C-18705,DLR-07,PLN-B60,10/08/2022,02/05/2025
S-62958,C-18706,DLR-05,PLN-S100,08/10/2025,
S-62959,C-18707,DLR-01,PLN-U69,09/05/2024,04/23/2025
S-62960,C-18707,DLR-10,PLN-B60,06/02/2025,
S-62961,C-18708,DLR-03,PLN-YTH,09/03/2025,
S-62962,C-18709,DLR-09,PLN-S100,04/15/2023,09/30/2023
S-62963,C-18709,DLR-01,PLN-T25,05/07/2023,06/13/2024
S-62964,C-18710,DLR-04,PLN-UMAX,07/24/2025,09/17/2025
S-62965,C-18711,DLR-02,PLN-T17,12/12/2023,
S-62966,C-18711,DLR-10,PLN-YTH,02/29/2024,12/02/2024
S-62967,C-18712,DLR-1,PLN-FAM,11/04/2025,
S-62968,C-18713,DLR-01,PLN-S100,07/01/2025,
S-62969,C-18714,DLR-8,PLN-T17,04/29/2024,10/20/2025
S-62970,C-18715,DLR-08,PLN-T02,11/08/2025,
S-62971,C-18716,DLR-03,PLN-S200,03/28/2025,10/25/2025
S-62972,C-18717,DLR-03,PLN-T01,01/08/2025,07/07/2025
S-62973,C-18718,DLR-07,PLN-S200,11/07/2022,12/09/2022
S-62974,C-18719,DLR-3,PLN-UMAX,08/21/2024,
S-62975,C-18720,DLR-06,PLN-YTH,01/03/2023,
S-62976,C-18721,DLR-02,PLN-U69,03/12/2025,
S-62977,C-18722,DLR-10,PLN-T25,12/26/2024,03/14/2025
S-62978,C-18723,DLR-5,PLN-T05,12/08/2025,
S-62979,C-18724,DLR-03,PLN-S100,05/23/2025,
S-62980,C-18725,DLR-5,PLN-FAM,11/17/2023,09/05/2024
S-62981,C-18726,DLR-01,PLN-T11,06/24/2022,11/04/2023
S-62982,C-18727,DLR-02,PLN-T17,08/16/2023,03/26/2024
S-62983,C-18728,DLR-03,PLN-S200,01/12/2025,08/19/2025
S-62984,C-18729,DLR-09,PLN-S100,05/06/2025,
S-62985,C-18730,DLR-07,PLN-S200,10/31/2022,
S-62986,C-18731,DLR-08,PLN-S200,12/24/2022,
S-62987,C-18731,DLR-01,PLN-S100,04/03/2023,
S-62988,C-18731,dlr-10,PLN-S100,03/12/2024,
S-62989,C-18731,DLR-07,PLN-S200,06/23/2023,
S-62990,C-18732,DLR-08,PLN-S100,08/26/2023,10/10/2023
S-62991,C-18733,DLR-03,PLN-T03,07/17/2022,01/14/2024
S-62992,C-18733,DLR-06,PLN-S200,12/26/2023,
S-62993,C-18734,DLR-02,PLN-S200,03/20/2025,
S-62994,C-18735,DLR-08,PLN-UMAX,06/25/2025,
S-62995,C-18736,DLR-01,PLN-U69,10/06/2023,10/04/2025
S-62996,C-18737,DLR-06,PLN-UMAX,06/26/2025,
S-62997,C-18738,DLR-08,PLN-B60,05/25/2025,
S-62998,C-18739,DLR-01,PLN-S100,08/12/2024,
S-62999,C-18739,DLR-03,PLN-U69,06/02/2025,
S-63000,C-18739,DLR-04,PLN-S200,07/31/2025,10/26/2025
S-63001,C-18740,DLR-10,PLN-B60,12/30/2025,
S-63002,C-18741,DLR-03,PLN-T08,08/24/2025,
S-63003,C-18741,DLR-05,PLN-SNR,10/24/2025,
S-63004,C-18742,DLR-5,PLN-S300,08/10/2022,02/28/2025
S-63005,C-18743,DLR-02,PLN-SNR,06/20/2025,
S-63006,C-18744,DLR-03,PLN-S200,05/17/2022,10/17/2022
S-63007,C-18745,DLR-09,PLN-UMAX,09/16/2025,
S-63008,C-18746,DLR-03,PLN-S100,05/23/2022,02/07/2024
S-63009,C-18747,DLR-09,PLN-S200,06/20/2021,02/28/2025
S-63010,C-18747,DLR-10,PLN-B60,11/15/2021,07/05/2022
S-63011,C-18747,DLR-02,PLN-T10,06/06/2022,
S-63012,C-18747,DLR-09,PLN-U69,07/30/2022,
S-63013,C-18747,DLR-09,PLN-S100,08/29/2021,
S-63014,C-18748,DLR-3,PLN-B40,10/02/2021,
S-63015,C-18749,DLR-03 ,PLN-T02,06/12/2025,
S-63016,C-18750,DLR-01,PLN-SNR,07/10/2025,
S-63017,C-18751,DLR-05,PLN-B60,10/26/2021,
S-63018,C-18751,DLR-09,PLN-UMAX,03/15/2023,08/01/2023
S-63019,C-18751,DLR-04,PLN-UMAX,02/14/2022,
S-63020,C-18752,DLR-09,PLN-UMAX,04/06/2023,
S-63021,C-18753,DLR-08,PLN-S200,04/03/2023,09/30/2023
S-63022,C-18754,DLR-02,PLN-T16,10/21/2025,
S-63023,C-18755,DLR-10,PLN-T21,09/29/2024,11/14/2025
S-63024,C-18756,DLR-05,PLN-S200,10/31/2021,02/24/2023
S-63025,C-18756,DLR-09,PLN-SNR,06/09/2022,11/02/2022
S-63026,C-18757,DLR-01,PLN-FAM,08/13/2021,
S-63027,C-18758,DLR-03,PLN-YTH,05/10/2025,
S-63028,C-18759,dlr-04,PLN-B60,01/05/2021,05/04/2022
S-63029,C-18760,DLR-01,PLN-SNR,07/25/2022,
S-63030,C-18761,DLR-10,PLN-UMAX,02/11/2024,
S-63031,C-18762,DLR-10,PLN-T14,07/02/2022,02/08/2025
S-63032,C-18763,DLR-02 ,PLN-UMAX,01/14/2025,
S-63033,C-18764,DLR-04,PLN-U69,03/29/2024,
S-63034,C-18765,DLR-06,PLN-UMAX,06/22/2022,11/09/2024
S-63035,C-18766,DLR-09,PLN-S100,06/06/2021,01/04/2023
S-63036,C-18766,dlr-03,PLN-T23,02/06/2022,03/01/2022
S-63037,C-18766,DLR-03,PLN-S100,01/08/2022,11/05/2022
S-63038,C-18767,DLR-09,PLN-S200,11/19/2025,
S-63039,C-18768,DLR-02,PLN-S100,09/12/2022,
S-63040,C-18768,DLR-03,PLN-S100,10/14/2023,
S-63041,C-18769,DLR-08,PLN-T11,04/09/2021,08/13/2022
S-63042,C-18770,DLR-01,PLN-S200,08/21/2022,09/24/2025
S-63043,C-18771,dlr-07,PLN-YTH,03/30/2022,04/03/2024
S-63044,C-18771,DLR-03,PLN-YTH,07/31/2022,01/25/2024
S-63045,C-18772,DLR-07,PLN-YTH,03/20/2025,
S-63046,C-18773,DLR-03,PLN-B60,12/30/2024,
S-63047,C-18773,DLR-05,PLN-T15,03/19/2025,
S-63048,C-18774,DLR-07,PLN-T24,04/08/2024,
S-63049,C-18774,DLR-03,PLN-YTH,05/30/2025,11/22/2025
S-63050,C-18774,DLR-04,PLN-T03,12/19/2024,
S-63051,C-18775,DLR-03 ,PLN-FAM,06/16/2025,11/02/2025
S-63052,C-18776,dlr-04,PLN-S200,12/26/2024,
S-63053,C-18777,DLR-06,PLN-FAM,04/23/2025,
S-63054,C-18777,DLR-07,PLN-S100,05/27/2025,
S-63055,C-18777,DLR-01,PLN-S100,11/09/2025,
S-63056,C-18778,DLR-08,PLN-B60,11/07/2024,
S-63057,C-18779,DLR-01,PLN-S100,08/27/2024,
S-63058,C-18779,dlr-01,PLN-S200,03/29/2025,
S-63059,C-18780,DLR-03,PLN-U69,12/31/2024,07/18/2025
S-63060,C-18781,DLR-03,PLN-S100,04/09/2025,
S-63061,C-18782,DLR-06,PLN-T24,09/25/2022,05/31/2024
S-63062,C-18783,DLR-08,PLN-YTH,03/03/2024,12/16/2024
S-63063,C-18783,DLR-01,PLN-S200,07/01/2024,
S-63064,C-18783,DLR-01 ,PLN-S200,08/29/2024,
S-63065,C-18784,DLR-04,PLN-FAM,12/27/2024,
S-63066,C-18784,DLR-01 ,PLN-T09,05/15/2025,
S-63067,C-18784,DLR-02,PLN-YTH,12/26/2025,
S-63068,C-18785,DLR-03,PLN-T12,05/25/2022,09/13/2022
S-63069,C-18786,DLR-03,PLN-S300,06/24/2025,
S-63070,C-18787,DLR-09,PLN-T11,04/02/2022,12/17/2023
S-63071,C-18787,DLR-08,PLN-T11,07/17/2022,
S-63072,C-18788,DLR-10,PLN-B40,05/10/2025,
S-63073,C-18789,DLR-02 ,PLN-T13,03/27/2024,
S-63074,C-18789,DLR-07,PLN-S100,08/11/2025,
S-63075,C-18790,DLR-08,PLN-S100,08/31/2025,
S-63076,C-18791,DLR-01,PLN-SNR,05/11/2023,
S-63077,C-18792,DLR-09,PLN-B60,10/06/2023,09/18/2024
S-63078,C-18793,DLR-07,PLN-U69,12/02/2025,
S-63079,C-18794,DLR-09,PLN-T09,11/02/2025,
S-63080,C-18795,DLR-09,PLN-U69,01/06/2024,
S-63081,C-18795,DLR-01,PLN-U69,11/08/2024,
S-63082,C-18795,dlr-07,PLN-S100,07/14/2024,
S-63083,C-18795,DLR-09,PLN-B60,09/30/2024,
S-63084,C-18796,DLR-07,PLN-U69,04/11/2022,09/01/2022
S-63085,C-18797,DLR-06,PLN-FAM,08/05/2025,
S-63086,C-18798,DLR-09,PLN-S300,05/09/2022,08/28/2022
S-63087,C-18799,DLR-09,PLN-S200,12/07/2021,
S-63088,C-18799,DLR-01,PLN-FAM,05/16/2023,
S-63089,C-18800,dlr-01,PLN-B60,10/19/2021,
S-63090,C-18800,DLR-09,PLN-S200,02/04/2023,
S-63091,C-18801,DLR-01,PLN-T09,03/26/2023,
S-63092,C-18802,DLR-08,PLN-T24,12/31/2021,06/14/2023
S-63093,C-18802,DLR-01,PLN-S100,08/31/2022,06/01/2023
S-63094,C-18803,DLR-08,PLN-UMAX,06/19/2025,
S-63095,C-18803,DLR-10,PLN-T17,09/07/2025,
S-63096,C-18804,DLR-09,PLN-SNR,02/24/2025,
S-63097,C-18804,DLR-01,PLN-T13,12/27/2025,
S-63098,C-18805,DLR-03,PLN-FAM,02/08/2025,
S-63099,C-18806,DLR-01,PLN-S100,12/26/2025,
S-63100,C-18807,DLR-03,PLN-UMAX,06/19/2025,12/08/2025
S-63101,C-18808,DLR-05,PLN-S200,11/06/2022,03/17/2024
S-63102,C-18808,DLR-10,PLN-B60,04/20/2023,10/31/2023
S-63103,C-18809,DLR-09,PLN-SNR,04/13/2024,11/14/2024
S-63104,C-18810,DLR-03,PLN-SNR,02/19/2025,11/12/2025
S-63105,C-18811,DLR-02,PLN-SNR,04/24/2025,
S-63106,C-18811,DLR-05,PLN-B40,10/04/2025,
S-63107,C-18812,DLR-01,PLN-S100,11/02/2023,
S-63108,C-18813,DLR-07,PLN-U69,01/02/2025,
S-63109,C-18813,DLR-01,PLN-UMAX,05/16/2025,
S-63110,C-18814,DLR-03,PLN-B60,02/07/2025,11/11/2025
S-63111,C-18814,DLR-07,PLN-SNR,03/06/2025,
S-63112,C-18815,DLR-09,PLN-UMAX,08/24/2022,08/27/2023
S-63113,C-18816,DLR-09,PLN-FAM,06/11/2024,
S-63114,C-18816,DLR-01 ,PLN-UMAX,09/17/2025,
S-63115,C-18816,DLR-09,PLN-UMAX,08/16/2025,
S-63116,C-18817,DLR-05,PLN-S200,10/12/2022,
S-63117,C-18818,DLR-05,PLN-S100,02/28/2024,10/07/2024
S-63118,C-18819,DLR-01,PLN-T07,07/27/2025,
S-63119,C-18820,DLR-10,PLN-S100,10/21/2022,01/04/2023
S-63120,C-18821,DLR-01,PLN-UMAX,04/20/2023,
S-63121,C-18821,DLR-01,PLN-T25,10/13/2023,
S-63122,C-18822,DLR-01,PLN-B60,07/23/2021,12/31/2021
S-63123,C-18823,DLR-08,PLN-YTH,04/29/2022,
S-63124,C-18823,DLR-01,PLN-S100,06/29/2022,
S-63125,C-18824,DLR-07,PLN-S200,04/21/2021,
S-63126,C-18824,DLR-04,PLN-S200,05/28/2021,
S-63127,C-18824,DLR-9,PLN-S200,06/25/2021,08/15/2022
S-63128,C-18825,DLR-02,PLN-B60,12/25/2022,
S-63129,C-18826,DLR-04,PLN-T02,10/07/2022,09/11/2023
S-63130,C-18826,DLR-01,PLN-U69,11/21/2023,
S-63131,C-18827,DLR-10,PLN-S200,04/25/2025,
S-63132,C-18828,DLR-09,PLN-S200,06/09/2023,12/09/2025
S-63133,C-18828,DLR-10,PLN-B40,08/25/2024,
S-63134,C-18828,DLR-03,PLN-S100,08/01/2024,07/28/2025
S-63135,C-18829,dlr-01,PLN-UMAX,07/02/2023,
S-63136,C-18829,DLR-09,PLN-UMAX,09/25/2024,03/16/2025
S-63137,C-18830,DLR-10,PLN-SNR,04/27/2024,
S-63138,C-18830,DLR-03,PLN-T24,09/08/2025,
S-63139,C-18831,DLR-10,PLN-B60,10/12/2025,
S-63140,C-18832,DLR-02,PLN-YTH,06/11/2023,05/21/2024
S-63141,C-18833,DLR-01,PLN-S100,11/03/2024,
S-63142,C-18833,DLR-03,PLN-S200,04/07/2025,09/25/2025
S-63143,C-18834,DLR-03,PLN-S200,02/23/2024,
S-63144,C-18835,DLR-06,PLN-S100,09/21/2025,
S-63145,C-18836,DLR-03,PLN-T09,03/08/2025,08/16/2025
S-63146,C-18836,DLR-05,PLN-B40,09/16/2025,
S-63147,C-18837,DLR-03,PLN-SNR,09/18/2022,01/09/2023
S-63148,C-18838,DLR-07,PLN-SNR,07/30/2021,07/07/2025
S-63149,C-18839,DLR-09,PLN-YTH,10/30/2025,
S-63150,C-18840,dlr-05,PLN-T07,06/17/2021,
S-63151,C-18840,DLR-09,PLN-S200,07/13/2021,01/15/2025
S-63152,C-18840,DLR-09,PLN-FAM,08/02/2022,
S-63153,C-18841,DLR-05,PLN-T02,11/11/2025,
S-63154,C-18842,DLR-07,PLN-T23,11/02/2025,
S-63155,C-18843,DLR-05,PLN-T09,07/30/2022,05/16/2025
S-63156,C-18844,DLR-08,PLN-UMAX,06/09/2025,
S-63157,C-18845,DLR-01,PLN-T04,08/06/2023,
S-63158,C-18846,DLR-03,PLN-S100,07/09/2025,
S-63159,C-18847,DLR-01,PLN-S200,12/29/2025,
S-63160,C-18848,DLR-09 ,PLN-B60,07/31/2021,07/14/2023
S-63161,C-18848,DLR-01,PLN-T18,12/18/2021,
S-63162,C-18848,DLR-02,PLN-FAM,10/06/2021,08/15/2022
S-63163,C-18848,DLR-01 ,PLN-B60,10/10/2022,
S-63164,C-18849,DLR-03,PLN-FAM,06/21/2025,11/09/2025
S-63165,C-18850,DLR-06,PLN-FAM,01/26/2022,11/07/2022
S-63166,C-18850,DLR-01,PLN-S200,12/26/2022,01/29/2024
S-63167,C-18850,DLR-02,PLN-S100,07/03/2022,
S-63168,C-18851,dlr-10,PLN-T05,10/07/2023,
S-63169,C-18851,DLR-09,PLN-U69,10/28/2024,
S-63170,C-18852,DLR-08 ,PLN-T08,10/11/2023,03/12/2025
S-63171,C-18853,DLR-07,PLN-T08,10/01/2022,
S-63172,C-18854,DLR-06,PLN-T04,04/08/2023,
S-63173,C-18855,DLR-03,PLN-FAM,02/28/2022,12/06/2023
S-63174,C-18855,DLR-01,PLN-S100,07/06/2022,06/11/2023
S-63175,C-18856,DLR-04 ,PLN-UMAX,11/23/2025,
S-63176,C-18857,DLR-01,PLN-S200,09/07/2023,
S-63177,C-18857,DLR-05,PLN-T21,09/02/2024,
S-63178,C-18858,DLR-09,PLN-FAM,04/05/2025,
S-63179,C-18859,DLR-09,PLN-B60,05/06/2025,
S-63180,C-18860,DLR-09,PLN-T16,01/07/2024,
S-63181,C-18861,DLR-03 ,PLN-S100,02/08/2022,
S-63182,C-18861,DLR-05,PLN-S200,03/10/2023,03/15/2025
S-63183,C-18861,DLR-09,PLN-T02,08/16/2023,02/28/2024
S-63184,C-18862,DLR-01,PLN-S300,12/16/2023,
S-63185,C-18862,DLR-09,PLN-S200,05/07/2025,
S-63186,C-18862,DLR-01,PLN-YTH,02/08/2025,
S-63187,C-18862,DLR-08,PLN-UMAX,11/22/2024,
S-63188,C-18862,DLR-04,PLN-FAM,04/13/2024,
S-63189,C-18863,DLR-04,PLN-T21,05/13/2025,
S-63190,C-18863,DLR-01,PLN-UMAX,12/29/2025,
S-63191,C-18864,DLR-01,PLN-S300,09/22/2025,
S-63192,C-18865,DLR-01,PLN-FAM,08/03/2022,10/17/2025
S-63193,C-18865,DLR-01,PLN-B60,07/04/2023,
S-63194,C-18866,DLR-10,PLN-YTH,02/05/2025,07/10/2025
S-63195,C-18866,DLR-01,PLN-YTH,07/12/2025,
S-63196,C-18866,DLR-10,PLN-B40,11/08/2025,
S-63197,C-18866,DLR-09,PLN-UMAX,06/22/2025,
S-63198,C-18867,DLR-02,PLN-T01,05/02/2025,
S-63199,C-18868,DLR-01,PLN-T04,04/22/2025,11/15/2025
S-63200,C-18868,DLR-06,PLN-B40,09/11/2025,
S-63201,C-18869,DLR-08,PLN-S200,11/12/2022,08/16/2023
S-63202,C-18870,DLR-04,PLN-T02,02/16/2023,10/03/2025
S-63203,C-18870,DLR-05,PLN-T10,11/03/2023,
S-63204,C-18870,DLR-06,PLN-B40,03/04/2024,
S-63205,C-18871,DLR-10,PLN-S200,05/11/2025,
S-63206,C-18872,DLR-2,PLN-FAM,07/25/2023,
S-63207,C-18872,DLR-06,PLN-SNR,05/10/2024,
S-63208,C-18872,DLR-10,PLN-UMAX,03/31/2024,
S-63209,C-18872,DLR-08,PLN-YTH,10/03/2023,
S-63210,C-18873,DLR-08,PLN-YTH,10/08/2023,
S-63211,C-18873,DLR-06,PLN-YTH,06/12/2024,
S-63212,C-18873,dlr-01,PLN-YTH,05/21/2024,
S-63213,C-18874,DLR-07,PLN-B40,04/12/2025,
S-63214,C-18874,dlr-01,PLN-SNR,07/16/2025,
S-63215,C-18875,DLR-03,PLN-S300,12/10/2025,
S-63216,C-18876,DLR-08,PLN-S200,06/11/2025,
S-63217,C-18877,DLR-01,PLN-S100,06/08/2025,
S-63218,C-18878,DLR-02,PLN-S100,06/06/2024,
S-63219,C-18879,DLR-09,PLN-B60,05/06/2025,
S-63220,C-18880,DLR-03,PLN-SNR,07/05/2025,
S-63221,C-18881,DLR-03,PLN-T08,08/30/2024,
S-63222,C-18882,DLR-04,PLN-YTH,08/25/2024,
S-63223,C-18882,DLR-06,PLN-B60,07/21/2025,
